Name,Date,Opening Price,Closing Price
Apple,2024-02-22,183.48,184.37
Apple,2024-02-23,185.01,182.52
Apple,2024-02-26,182.24,181.16
Apple,2024-02-27,181.1,182.63
Apple,2024-02-28,182.51,181.42
Apple,2024-02-29,181.27,180.75
Apple,2024-03-01,179.55,179.66
Apple,2024-03-04,176.15,175.1
Apple,2024-03-05,170.76,170.12
Apple,2024-03-06,171.06,169.12
Apple,2024-03-07,169.15,169.0
Apple,2024-03-08,169.0,170.73
Apple,2024-03-11,172.94,172.75
Apple,2024-03-12,173.15,173.23
Apple,2024-03-13,172.77,171.13
Apple,2024-03-14,172.91,173.0
Apple,2024-03-15,171.17,172.62
Apple,2024-03-18,175.57,173.72
Apple,2024-03-19,174.34,176.08
Apple,2024-03-20,175.72,178.67
Apple,2024-03-21,177.05,171.37
Apple,2024-03-22,171.76,172.28
Apple,2024-03-25,170.57,170.85
Apple,2024-03-26,170.0,169.71
Apple,2024-03-27,170.41,173.31
Apple,2024-03-28,171.75,171.48
Apple,2024-04-01,171.19,170.03
Apple,2024-04-02,169.08,168.84
Apple,2024-04-03,168.79,169.65
Apple,2024-04-04,170.29,168.82
Apple,2024-04-05,169.59,169.58
Apple,2024-04-08,169.03,168.45
Apple,2024-04-09,168.7,169.67
Apple,2024-04-10,168.8,167.78
Apple,2024-04-11,168.34,175.04
Apple,2024-04-12,174.26,176.55
Apple,2024-04-15,175.36,172.69
Apple,2024-04-16,171.75,169.38
Apple,2024-04-17,169.61,168.0
Apple,2024-04-18,168.03,167.04
Apple,2024-04-19,166.21,165.0
Apple,2024-04-22,165.52,165.84
Apple,2024-04-23,165.35,166.9
Apple,2024-04-24,166.54,169.02
Apple,2024-04-25,169.53,169.89
Apple,2024-04-26,169.88,169.3
Apple,2024-04-29,173.37,173.5
Apple,2024-04-30,173.33,170.33
Apple,2024-05-01,169.58,169.3
Apple,2024-05-02,172.51,173.03
Apple,2024-05-03,186.65,183.38
Apple,2024-05-06,182.35,181.71
Apple,2024-05-07,183.45,182.4
Apple,2024-05-08,182.85,182.74
Apple,2024-05-09,182.56,184.57
Apple,2024-05-10,184.9,183.05
Apple,2024-05-13,185.44,186.28
Apple,2024-05-14,187.51,187.43
Apple,2024-05-15,187.91,189.72
Apple,2024-05-16,190.47,189.84
Apple,2024-05-17,189.51,189.87
Apple,2024-05-20,189.33,191.04
Apple,2024-05-21,191.09,192.35
Apple,2024-05-22,192.27,190.9
Apple,2024-05-23,190.98,186.88
Apple,2024-05-24,188.82,189.98
Apple,2024-05-28,191.51,189.99
Apple,2024-05-29,189.61,190.29
Apple,2024-05-30,190.76,191.29
Apple,2024-05-31,191.44,192.25
Apple,2024-06-03,192.9,194.03
Apple,2024-06-04,194.64,194.35
Apple,2024-06-05,195.4,195.87
Apple,2024-06-06,195.69,194.48
Apple,2024-06-07,194.65,196.89
Apple,2024-06-10,196.9,193.12
Apple,2024-06-11,193.65,207.15
Apple,2024-06-12,207.37,213.07
Apple,2024-06-13,214.74,214.24
Apple,2024-06-14,213.85,212.49
Apple,2024-06-17,213.37,216.67
Apple,2024-06-18,217.59,214.29
Apple,2024-06-20,213.93,209.68
Apple,2024-06-21,210.39,207.49
Apple,2024-06-24,207.72,208.14
Apple,2024-06-25,209.15,209.07
Apple,2024-06-26,211.5,213.25
Apple,2024-06-27,214.69,214.1
Apple,2024-06-28,215.77,210.62
Apple,2024-07-01,212.09,216.75
Apple,2024-07-02,216.15,220.27
Apple,2024-07-03,220.0,221.55
Apple,2024-07-05,221.65,226.34
Apple,2024-07-08,227.09,227.82
Apple,2024-07-09,227.93,228.68
Apple,2024-07-10,229.3,232.98
Apple,2024-07-11,231.39,227.57
Apple,2024-07-12,228.92,230.54
Apple,2024-07-15,236.48,234.4
Apple,2024-07-16,235.0,234.82
Apple,2024-07-17,229.45,228.88
Apple,2024-07-18,230.28,224.18
Apple,2024-07-19,224.82,224.31
Apple,2024-07-22,227.01,223.96
Apple,2024-07-23,224.37,225.01
Apple,2024-07-24,224.0,218.54
Apple,2024-07-25,218.93,217.49
Apple,2024-07-26,218.7,217.96
Apple,2024-07-29,216.96,218.24
Apple,2024-07-30,219.19,218.8
Apple,2024-07-31,221.44,222.08
Apple,2024-08-01,224.37,218.36
Apple,2024-08-02,219.15,219.86
Apple,2024-08-05,199.09,209.27
Apple,2024-08-06,205.3,207.23
Apple,2024-08-07,206.9,209.82
Apple,2024-08-08,213.11,213.31
Apple,2024-08-09,212.1,216.24
Apple,2024-08-12,216.07,217.53
Apple,2024-08-13,219.01,221.27
Apple,2024-08-14,220.57,221.72
Apple,2024-08-15,224.6,224.72
Apple,2024-08-16,223.92,226.05
Apple,2024-08-19,225.72,225.89
Apple,2024-08-20,225.77,226.51
Apple,2024-08-21,226.52,226.4
Apple,2024-08-22,227.79,224.53
Apple,2024-08-23,225.66,226.84
Apple,2024-08-26,226.76,227.18
Apple,2024-08-27,226.0,228.03
Apple,2024-08-28,227.92,226.49
Apple,2024-08-29,230.1,229.79
Apple,2024-08-30,230.19,229.0
Apple,2024-09-03,228.55,222.77
Apple,2024-09-04,221.66,220.85
Apple,2024-09-05,221.63,222.38
Apple,2024-09-06,223.95,220.82
Apple,2024-09-09,220.82,220.91
Apple,2024-09-10,218.92,220.11
Apple,2024-09-11,221.46,222.66
Apple,2024-09-12,222.5,222.77
Apple,2024-09-13,223.58,222.5
Apple,2024-09-16,216.54,216.32
Apple,2024-09-17,215.75,216.79
Apple,2024-09-18,217.55,220.69
Apple,2024-09-19,224.99,228.87
Apple,2024-09-20,229.97,228.2
Apple,2024-09-23,227.34,226.47
Apple,2024-09-24,228.65,227.37
Apple,2024-09-25,224.93,226.37
Apple,2024-09-26,227.3,227.52
Apple,2024-09-27,228.46,227.79
Apple,2024-09-30,230.04,233.0
Apple,2024-10-01,229.52,226.21
Apple,2024-10-02,225.89,226.78
Apple,2024-10-03,225.14,225.67
Apple,2024-10-04,227.9,226.8
Apple,2024-10-07,224.5,221.69
Apple,2024-10-08,224.3,225.77
Apple,2024-10-09,225.23,229.54
Apple,2024-10-10,227.78,229.04
Apple,2024-10-11,229.3,227.55
Apple,2024-10-14,228.7,231.3
Apple,2024-10-15,233.61,233.85
Apple,2024-10-16,231.6,231.78
Apple,2024-10-17,233.43,232.15
Apple,2024-10-18,236.18,235.0
Apple,2024-10-21,234.45,236.48
Apple,2024-10-22,233.89,235.86
Apple,2024-10-23,234.08,230.76
Apple,2024-10-24,229.98,230.57
Apple,2024-10-25,229.74,231.41
Apple,2024-10-28,233.32,233.4
Apple,2024-10-29,233.1,233.67
Apple,2024-10-30,232.61,230.1
Apple,2024-10-31,229.34,225.91
Apple,2024-11-01,220.97,222.91
Apple,2024-11-04,220.99,222.01
Apple,2024-11-05,221.8,223.45
Apple,2024-11-06,222.61,222.72
Apple,2024-11-07,224.63,227.48
Apple,2024-11-08,227.17,226.96
